                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6447,                 3.2988,                 1.5685,                0.76592,                0.11111,                0.30216,                0.14751,                 1.5716,                  3.052,                 1.5711,               0.070395,              0.0032895,              0.0032895
                      1,                 1.5978,                 2.3029,                 1.4969,                 0.5183,                0.44444,                0.39497,                0.17163,                 1.7674,                 2.4135,                 1.8033,               0.040329,              0.0065572,              0.0065572
                      2,                 1.6756,                 2.2367,                 1.5687,                0.36862,                0.30864,                0.26963,                0.11566,                 2.0368,                 2.5974,                 2.0218,               0.010198,               0.009759,               0.009759
                      3,                 1.7802,                 2.2367,                 1.6494,                 0.2346,                 0.2716,                0.20109,                 0.0898,                 1.9911,                   4.52,                 2.0691,               0.009703,               0.009703,               0.009703
                      4,                 1.7696,                 2.1268,                 1.6228,                0.37564,                0.40741,                0.32911,                0.15381,                 2.0728,                 2.9514,                 2.0695,               0.009703,               0.009703,               0.009703
                      5,                 1.7418,                   1.98,                 1.5867,                0.50395,                0.32099,                0.34478,                0.15599,                 2.0326,                 2.3027,                 2.0341,               0.009604,               0.009604,               0.009604
                      6,                 1.7159,                 1.9304,                  1.575,                0.47461,                0.51305,                0.46958,                 0.2223,                 1.7928,                 1.9523,                 1.7927,               0.009505,               0.009505,               0.009505
                      7,                 1.6563,                  1.811,                 1.5048,                0.72651,                0.39357,                0.47261,                0.23957,                 1.8106,                 2.1924,                 1.8183,               0.009406,               0.009406,               0.009406
                      8,                 1.6296,                 1.7352,                 1.5325,                0.55005,                0.51318,                0.49446,                0.23047,                 1.8078,                 1.8542,                 1.8802,               0.009307,               0.009307,               0.009307
                      9,                 1.6324,                 1.7101,                 1.5342,                0.52891,                0.55446,                0.46264,                0.21693,                  1.744,                 1.9279,                 1.7733,               0.009208,               0.009208,               0.009208
                     10,                 1.5265,                 1.5926,                  1.449,                0.60421,                0.60311,                0.64054,                0.31035,                 1.7851,                  1.652,                 1.8262,               0.009109,               0.009109,               0.009109
                     11,                 1.5184,                 1.5588,                 1.4436,                0.80812,                  0.624,                0.67761,                0.35995,                 1.6137,                  1.379,                 1.6352,                0.00901,                0.00901,                0.00901
                     12,                 1.5219,                 1.5191,                 1.4412,                0.68818,                0.65432,                0.67731,                0.35083,                 1.5727,                 1.4829,                 1.6698,               0.008911,               0.008911,               0.008911
                     13,                 1.5084,                 1.5315,                 1.4528,                0.63125,                0.51852,                0.53496,                0.27547,                 1.6623,                 2.0514,                 1.7515,               0.008812,               0.008812,               0.008812
                     14,                 1.4826,                 1.4852,                 1.4255,                0.75657,                0.58025,                0.66011,                0.32242,                 1.6381,                 1.5694,                 1.7499,               0.008713,               0.008713,               0.008713
                     15,                 1.4321,                  1.437,                 1.4083,                0.63033,                 0.5679,                0.63067,                 0.3352,                  1.643,                 1.4025,                 1.7339,               0.008614,               0.008614,               0.008614
                     16,                 1.4257,                 1.3592,                   1.37,                0.74493,                0.53086,                0.57504,                0.28171,                  1.681,                 1.6805,                 1.7631,               0.008515,               0.008515,               0.008515
                     17,                 1.4291,                 1.3973,                 1.3724,                0.68405,                 0.7037,                0.71589,                0.36097,                 1.5559,                 1.5029,                 1.6527,               0.008416,               0.008416,               0.008416
                     18,                 1.4033,                 1.3347,                 1.3572,                0.76502,                0.60293,                 0.6511,                 0.3436,                 1.6327,                 1.5456,                  1.657,               0.008317,               0.008317,               0.008317
                     19,                 1.3971,                 1.3083,                 1.3766,                0.79383,                0.71308,                0.72427,                 0.3912,                 1.5487,                 1.3511,                 1.6612,               0.008218,               0.008218,               0.008218
                     20,                 1.3719,                 1.2687,                  1.342,                0.72184,                0.70483,                0.71692,                0.38313,                 1.5886,                 1.3652,                 1.6567,               0.008119,               0.008119,               0.008119
                     21,                 1.3959,                 1.3094,                 1.3836,                0.73642,                0.68986,                0.72974,                0.36536,                 1.5769,                 1.3362,                 1.7185,                0.00802,                0.00802,                0.00802
                     22,                 1.3396,                 1.2056,                 1.3164,                0.68902,                 0.7284,                0.71868,                0.38397,                 1.5949,                  1.252,                 1.6373,               0.007921,               0.007921,               0.007921
                     23,                 1.3337,                 1.2107,                 1.3143,                0.82073,                0.60494,                0.69142,                0.36666,                 1.6231,                 1.4755,                 1.6667,               0.007822,               0.007822,               0.007822
                     24,                 1.2741,                  1.187,                 1.2707,                0.85326,                0.62963,                0.75389,                0.39831,                 1.6034,                 1.2422,                  1.616,               0.007723,               0.007723,               0.007723
                     25,                 1.3115,                 1.2066,                 1.3125,                0.79862,                0.68549,                0.77811,                0.44077,                 1.4535,                 1.1604,                 1.5467,               0.007624,               0.007624,               0.007624
                     26,                 1.2754,                 1.1155,                 1.3007,                0.73347,                0.79012,                0.76832,                0.42109,                 1.4852,                 1.2553,                 1.5354,               0.007525,               0.007525,               0.007525
                     27,                 1.2956,                  1.144,                 1.2994,                0.86598,                 0.7037,                0.80452,                0.45265,                 1.5377,                 1.1309,                 1.6669,               0.007426,               0.007426,               0.007426
                     28,                 1.2583,                 1.1011,                 1.2743,                 0.7862,                0.66667,                0.72046,                0.37362,                 1.5383,                 1.2666,                 1.5981,               0.007327,               0.007327,               0.007327
                     29,                 1.2587,                 1.0995,                 1.2583,                0.84008,                0.74074,                0.81669,                0.43803,                 1.4954,                 1.1984,                 1.6059,               0.007228,               0.007228,               0.007228
                     30,                 1.2346,                 1.0786,                 1.2516,                 0.7655,                0.76571,                0.77016,                 0.4252,                   1.55,                 1.3106,                 1.6047,               0.007129,               0.007129,               0.007129
                     31,                 1.2139,                 1.0516,                 1.2452,                0.80391,                0.66667,                0.71609,                0.39763,                 1.5544,                 1.2831,                 1.6797,                0.00703,                0.00703,                0.00703
                     32,                 1.1933,                 1.1016,                 1.2284,                0.81427,                0.71605,                0.76497,                0.40319,                 1.6376,                 1.1557,                 1.7053,               0.006931,               0.006931,               0.006931
                     33,                 1.1989,                 1.0289,                 1.2329,                 0.8115,                0.79727,                0.78136,                0.42224,                 1.5677,                 1.1312,                 1.6406,               0.006832,               0.006832,               0.006832
                     34,                 1.2116,                 1.0313,                 1.2548,                0.79074,                0.79312,                0.81277,                0.44289,                 1.5651,                 1.0923,                 1.6079,               0.006733,               0.006733,               0.006733
                     35,                 1.2209,                 1.0481,                 1.2622,                0.83171,                 0.7322,                0.79191,                0.44866,                 1.6286,                 1.1313,                 1.6506,               0.006634,               0.006634,               0.006634
                     36,                 1.1592,                0.96184,                 1.2074,                0.86444,                0.70859,                0.79929,                0.45822,                 1.5458,                 1.1265,                 1.5618,               0.006535,               0.006535,               0.006535
                     37,                 1.1725,                0.95226,                  1.215,                0.84533,                0.74222,                0.80276,                0.44658,                 1.5242,                 1.0065,                 1.5573,               0.006436,               0.006436,               0.006436
                     38,                 1.1418,                0.97228,                 1.2043,                  0.758,                0.79012,                0.77942,                0.43569,                 1.5373,                 1.0714,                 1.6051,               0.006337,               0.006337,               0.006337
                     39,                 1.1396,                0.94123,                 1.1875,                0.88439,                0.83951,                0.85242,                0.47995,                 1.5134,                 0.9869,                 1.5912,               0.006238,               0.006238,               0.006238
                     40,                 1.1127,                0.92728,                  1.182,                0.89736,                0.75309,                0.82459,                 0.4458,                 1.5371,                 1.0895,                 1.6193,               0.006139,               0.006139,               0.006139
                     41,                 1.1435,                0.96065,                 1.1926,                0.84144,                0.79012,                0.84013,                0.44767,                 1.5698,                  1.069,                 1.6642,                0.00604,                0.00604,                0.00604
                     42,                 1.1062,                 0.9136,                 1.1922,                0.81965,                0.79012,                0.84453,                0.48572,                 1.4806,                0.99495,                 1.5593,               0.005941,               0.005941,               0.005941
                     43,                 1.0863,                0.89861,                 1.1687,                0.83303,                0.80074,                 0.8269,                0.45534,                 1.5116,                0.96237,                 1.6217,               0.005842,               0.005842,               0.005842
                     44,                 1.1107,                0.91273,                 1.1674,                0.82437,                0.71605,                0.80754,                 0.4783,                 1.4511,                 1.0055,                 1.5482,               0.005743,               0.005743,               0.005743
                     45,                 1.0969,                0.90385,                  1.177,                0.85725,                 0.7284,                0.83049,                0.47238,                 1.4811,                0.98531,                 1.5321,               0.005644,               0.005644,               0.005644
                     46,                 1.0699,                0.86585,                 1.1503,                0.89807,                0.79012,                 0.8446,                0.52527,                 1.3831,                0.91152,                 1.4595,               0.005545,               0.005545,               0.005545
                     47,                 1.0513,                0.82776,                 1.1573,                0.90536,                0.77778,                0.85776,                0.51328,                 1.4072,                0.90259,                 1.5036,               0.005446,               0.005446,               0.005446
                     48,                 1.0647,                0.87223,                 1.1409,                0.87884,                0.80601,                0.85726,                0.49418,                 1.4302,                0.87678,                 1.5162,               0.005347,               0.005347,               0.005347
                     49,                 1.0479,                0.82725,                 1.1414,                0.91419,                0.78916,                 0.8326,                0.51507,                 1.3445,                0.86829,                 1.5012,               0.005248,               0.005248,               0.005248
                     50,                  1.049,                0.82768,                 1.1426,                0.90267,                0.80148,                0.85122,                 0.5075,                 1.4288,                0.92338,                 1.5081,               0.005149,               0.005149,               0.005149
                     51,                 1.0362,                0.81144,                 1.1413,                0.88099,                0.82256,                0.81854,                0.48797,                 1.4173,                0.90565,                 1.5378,                0.00505,                0.00505,                0.00505
                     52,                 1.0552,                0.82531,                 1.1502,                0.87185,                0.79012,                0.79252,                0.47526,                 1.4899,                  0.959,                 1.5093,               0.004951,               0.004951,               0.004951
                     53,                 1.0492,                0.80104,                 1.1419,                0.83844,                0.76888,                0.80079,                0.47393,                 1.4638,                0.93717,                 1.5315,               0.004852,               0.004852,               0.004852
                     54,                 1.0289,                 0.8039,                 1.1316,                0.88568,                0.79012,                0.82287,                0.51907,                 1.4163,                0.92114,                 1.4864,               0.004753,               0.004753,               0.004753
                     55,                 1.0223,                0.78858,                  1.136,                0.82573,                0.80247,                0.80787,                 0.4951,                 1.4369,                0.90845,                  1.546,               0.004654,               0.004654,               0.004654
                     56,                 1.0045,                0.77331,                 1.1177,                0.89027,                0.80129,                0.85211,                0.51812,                 1.4471,                0.92941,                 1.4903,               0.004555,               0.004555,               0.004555
                     57,                 1.0314,                0.78563,                 1.1463,                0.91061,                0.79012,                0.83334,                 0.5291,                 1.4277,                0.89366,                 1.5134,               0.004456,               0.004456,               0.004456
                     58,                 1.0067,                0.77183,                 1.1071,                0.87527,                0.81481,                 0.8144,                0.50907,                 1.3848,                0.93057,                 1.4977,               0.004357,               0.004357,               0.004357
                     59,                0.98085,                0.78962,                 1.0925,                0.95444,                  0.776,                0.86446,                0.52138,                 1.3761,                0.82778,                 1.5051,               0.004258,               0.004258,               0.004258
                     60,                0.95488,                0.75978,                  1.102,                 0.8752,                0.80247,                0.86154,                0.49195,                 1.4795,                  0.878,                 1.5738,               0.004159,               0.004159,               0.004159
                     61,                0.99964,                0.79249,                 1.1226,                 0.8863,                0.80247,                0.84713,                0.51022,                 1.4647,                0.89008,                 1.5375,                0.00406,                0.00406,                0.00406
                     62,                0.96876,                0.77035,                 1.1166,                0.84534,                0.85185,                0.87833,                0.51446,                 1.4857,                0.90962,                  1.553,               0.003961,               0.003961,               0.003961
                     63,                0.94663,                0.74274,                 1.0863,                0.80971,                0.89309,                0.87487,                0.51371,                 1.4057,                0.87073,                 1.4982,               0.003862,               0.003862,               0.003862
                     64,                 0.9509,                0.77076,                 1.1015,                 0.9373,                0.81481,                0.85928,                0.49239,                 1.5269,                0.91888,                  1.548,               0.003763,               0.003763,               0.003763
                     65,                0.94822,                0.72671,                 1.0999,                0.91532,                0.82716,                0.85989,                0.52104,                 1.4056,                 0.8239,                 1.5086,               0.003664,               0.003664,               0.003664
                     66,                0.94531,                0.68392,                 1.0987,                0.94429,                0.85185,                0.87577,                0.51594,                 1.4588,                0.87433,                 1.5335,               0.003565,               0.003565,               0.003565
                     67,                  0.955,                0.72729,                 1.1068,                0.94331,                0.82169,                0.86122,                0.50109,                 1.4566,                0.85458,                 1.4925,               0.003466,               0.003466,               0.003466
                     68,                0.93649,                0.70457,                 1.0865,                0.89425,                 0.8352,                0.85008,                0.49219,                 1.4372,                0.83282,                 1.5365,               0.003367,               0.003367,               0.003367
                     69,                0.93492,                0.70507,                 1.1049,                0.94219,                 0.8642,                0.90178,                0.52624,                 1.4349,                0.79776,                 1.5143,               0.003268,               0.003268,               0.003268
                     70,                0.88764,                0.67354,                 1.0507,                0.91769,                0.81481,                0.85819,                0.50332,                 1.4511,                0.83161,                 1.5388,               0.003169,               0.003169,               0.003169
                     71,                0.93174,                0.70305,                 1.0947,                 0.8947,                 0.8642,                0.86482,                0.51957,                 1.4538,                0.90564,                 1.5216,                0.00307,                0.00307,                0.00307
                     72,                0.86534,                0.74624,                 1.0497,                0.91808,                0.83951,                0.86996,                0.52266,                 1.4303,                0.94533,                 1.4891,               0.002971,               0.002971,               0.002971
                     73,                0.93016,                0.69883,                  1.099,                0.90163,                0.85185,                0.87307,                0.49769,                 1.5052,                0.89615,                 1.5565,               0.002872,               0.002872,               0.002872
                     74,                0.89193,                0.70022,                 1.0617,                 0.9054,                 0.8642,                0.88235,                0.49796,                 1.4786,                0.84555,                 1.5462,               0.002773,               0.002773,               0.002773
                     75,                0.86838,                 0.6494,                 1.0682,                0.90618,                0.83477,                0.86597,                0.51063,                 1.4172,                0.82732,                 1.5076,               0.002674,               0.002674,               0.002674
                     76,                 0.8617,                0.64448,                 1.0483,                0.89648,                0.85532,                0.87726,                0.52873,                 1.3988,                0.78196,                 1.4792,               0.002575,               0.002575,               0.002575
                     77,                0.87503,                0.66672,                 1.0555,                0.91456,                0.85185,                0.87533,                0.55189,                 1.4024,                0.79091,                 1.4706,               0.002476,               0.002476,               0.002476
                     78,                0.84103,                0.66422,                 1.0451,                0.89635,                0.85413,                 0.8734,                0.54099,                 1.3881,                 0.7923,                 1.4911,               0.002377,               0.002377,               0.002377
                     79,                 0.8437,                0.63912,                 1.0526,                0.90529,                0.85185,                0.88929,                0.54236,                 1.3627,                0.76889,                 1.4595,               0.002278,               0.002278,               0.002278
                     80,                0.84232,                0.63475,                 1.0375,                0.87505,                0.86461,                0.88561,                0.56456,                 1.3551,                0.78737,                 1.4497,               0.002179,               0.002179,               0.002179
                     81,                 0.8378,                0.63378,                 1.0413,                0.90923,                0.87654,                0.87885,                0.53761,                 1.3918,                0.81612,                 1.4883,                0.00208,                0.00208,                0.00208
                     82,                0.84289,                0.64855,                 1.0335,                0.92918,                0.85185,                0.87369,                0.55217,                 1.4042,                0.84352,                 1.4693,               0.001981,               0.001981,               0.001981
                     83,                 0.8123,                0.62317,                 1.0287,                 0.8712,                0.83951,                0.85615,                0.53087,                 1.3441,                0.82827,                 1.4463,               0.001882,               0.001882,               0.001882
                     84,                0.79961,                0.60857,                 1.0144,                 0.9061,                0.83394,                0.86713,                0.53327,                 1.3248,                0.81236,                 1.4417,               0.001783,               0.001783,               0.001783
                     85,                0.82408,                0.63902,                 1.0357,                0.93923,                0.83951,                0.88334,                0.54799,                 1.3484,                0.78007,                  1.451,               0.001684,               0.001684,               0.001684
                     86,                0.82957,                0.63052,                 1.0817,                0.91529,                 0.8642,                0.88142,                0.55845,                 1.3377,                 0.7617,                 1.4454,               0.001585,               0.001585,               0.001585
                     87,                0.81566,                0.60716,                 1.0235,                0.93075,                 0.8642,                 0.8755,                0.55854,                 1.3437,                0.79482,                 1.4352,               0.001486,               0.001486,               0.001486
                     88,                0.78454,                0.58599,                 1.0141,                0.94612,                0.87654,                0.89246,                 0.5552,                 1.3563,                0.78125,                 1.4134,               0.001387,               0.001387,               0.001387
                     89,                0.79266,                0.59163,                  1.023,                0.91725,                 0.8211,                0.86735,                0.54488,                 1.3755,                0.82455,                 1.4809,               0.001288,               0.001288,               0.001288
                     90,                0.77945,                0.63379,                 1.0088,                0.89557,                0.84707,                0.88744,                0.55295,                 1.3476,                0.76335,                 1.4259,               0.001189,               0.001189,               0.001189
                     91,                0.76867,                 0.5731,                 1.0135,                0.95366,                0.81481,                0.88145,                0.56626,                 1.3594,                0.75203,                  1.423,                0.00109,                0.00109,                0.00109
                     92,                0.76039,                 0.5664,                 1.0014,                0.97095,                0.83951,                0.89988,                0.56336,                 1.3288,                0.77023,                 1.4131,               0.000991,               0.000991,               0.000991
                     93,                0.78147,                0.57828,                 1.0117,                  0.909,                 0.8642,                0.88708,                0.56182,                 1.3362,                0.76914,                 1.4105,               0.000892,               0.000892,               0.000892
                     94,                0.73842,                0.54913,                0.98743,                0.94245,                0.85185,                0.90025,                0.57651,                 1.3166,                 0.7508,                 1.3793,               0.000793,               0.000793,               0.000793
                     95,                0.78081,                0.57086,                 1.0128,                0.95557,                0.83951,                0.89457,                0.55351,                 1.2859,                0.73183,                  1.368,               0.000694,               0.000694,               0.000694
                     96,                0.74544,                0.56036,                0.99492,                0.94655,                0.82716,                0.88893,                0.57592,                 1.3175,                0.73765,                 1.4101,               0.000595,               0.000595,               0.000595
                     97,                0.74142,                0.55511,                  1.004,                0.92016,                0.85368,                0.88144,                0.56433,                 1.3344,                0.77853,                 1.4163,               0.000496,               0.000496,               0.000496
                     98,                0.72514,                 0.5509,                0.99391,                0.95924,                0.87172,                0.89641,                0.56345,                 1.3379,                0.75936,                 1.4171,               0.000397,               0.000397,               0.000397
                     99,                0.73735,                0.55578,                 1.0073,                0.92025,                0.85481,                0.88704,                0.57197,                 1.3333,                0.74675,                 1.4177,               0.000298,               0.000298,               0.000298
